Record ID|Description|EqNumber
312|MOTOR,GE,50 HP,3600 RPM Electric Motors|000000000001056286
313|MOTOR,GE,60 HP,1800 RPM Electric Motors|000000000001056287
314|MOTOR,GE,60 HP,3600 RPM Electric Motors|000000000001056288
315|MOTOR,GE,75 HP,1800 RPM Electric Motors|000000000001056290
316|MOTOR,LOUIS ALLIS,50 HP,1800 RPM Electric Motors|000000000001056304
317|MOTOR,MARATHON ELECTRIC,50 HP,3600 RPM Electric Motors|000000000001056310
318|MOTOR,MARATHON ELECTRIC,100 HP,1800 RPM Electric Motors|000000000001056311
319|MOTOR,MARATHON ELECTRIC,60 HP,1200 RPM Electric Motors|000000000001056312
320|MOTOR,MARATHON ELECTRIC,75 HP,3600 RPM Electric Motors|000000000001056314
321|MOTOR,PACEMAKER,100 HP,3600 RPM Electric Motors|000000000001056316
322|MOTOR,RELIANCE ELECTRIC,100 HP,1800 RPM Electric Motors|000000000001056317
323|MOTOR,GE,100 HP,3600 RPM Electric Motors|000000000001056559
324|MOTOR,WESTINGHOUSE,120 HP,1200 RPM Electric Motors|000000000001056591
325|MOTOR,US ELECTRIC,100 HP,3600 RPM Electric Motors|000000000001056592
326|MOTOR,SIEMENS MOTORS,50 HP,1800 RPM Electric Motors|000000000001056612
327|MOTOR,US ELECTRIC,500 HP,3600 RPM Electric Motors|000000000001056640
328|MOTOR,SIEMENS MOTORS,200 HP,3600 RPM Electric Motors|000000000001056641
329|MOTOR,BALDOR,200 HP,3600 RPM Electric Motors|000000000001056642
330|MOTOR,WILLIS ELECTRIC,125 HP,3600 RPM Electric Motors|000000000001056643
331|MOTOR,MARATHON ELECTRIC,125 HP,3600 RPM Electric Motors|000000000001056644
332|MOTOR,GE,125 HP,3600 RPM Electric Motors|000000000001056645
333|MOTOR,MARATHON ELECTRIC,100 HP,3600 RPM Electric Motors|000000000001056678
334|MOTOR,RELIANCE ELECTRIC,150 HP,1200 RPM Electric Motors|000000000001056688
335|MOTOR,RELIANCE ELECTRIC,75 HP,1800 RPM Electric Motors|000000000001056711
336|MOTOR,RELIANCE ELECTRIC,75 HP,3600 RPM Electric Motors|000000000001056712
337|MOTOR,SIEMENS MOTORS,100 HP,1200 RPM Electric Motors|000000000001056713
338|MOTOR,TECO-WESTINGHOUSE,50 HP,1200 RPM Electric Motors|000000000001056722
339|MOTOR,ALLIS-CHALMERS,50 HP,1200 RPM Electric Motors|000000000001056723
340|MOTOR,STERLING,50 HP,1200 RPM Electric Motors|000000000001056724
341|MOTOR,LOUIS ALLIS,50 HP,3600 RPM Electric Motors|000000000001056725
342|MOTOR,US ELECTRIC,50 HP,3600 RPM Electric Motors|000000000001056726
343|MOTOR,RELIANCE ELECTRIC,50 HP,3600 RPM Electric Motors|000000000001056727
344|MOTOR,TOSHIBA ELECTRIC,50 HP,3600 RPM Electric Motors|000000000001056728
345|MOTOR,WILLIS ELECTRIC,50 HP,1800 RPM Electric Motors|000000000001056729
346|MOTOR,WESTINGHOUSE,50 HP,1800 RPM Electric Motors|000000000001056730
347|MOTOR,US ELECTRIC,50 HP,1800 RPM Electric Motors|000000000001056731
348|MOTOR,TOSHIBA ELECTRIC,50 HP,1800 RPM Electric Motors|000000000001056732
349|MOTOR,SIEMENS-ALLIS,50 HP,1800 RPM Electric Motors|000000000001056733
350|MOTOR,LINCOLN MOTORS,50 HP,1800 RPM Electric Motors|000000000001056734
351|MOTOR,SIEMENS MOTORS,50 HP,1200 RPM Electric Motors|000000000001056736
352|MOTOR,WESTINGHOUSE,50 HP,3600 RPM Electric Motors|000000000001056737
353|MOTOR,MARATHON ELECTRIC,60 HP,1800 RPM Electric Motors|000000000001056738
354|MOTOR,TECO-WESTINGHOUSE,60 HP,1800 RPM Electric Motors|000000000001056739
355|MOTOR,TOSHIBA ELECTRIC,60 HP,1800 RPM Electric Motors|000000000001056740
356|MOTOR,US ELECTRIC,125 HP,1800 RPM,VERT Electric Motors|000000000001056741
357|MOTOR,WESTINGHOUSE,75 HP,3600 RPM Electric Motors|000000000001056753
358|MOTOR,US ELECTRIC,75 HP,3600 RPM Electric Motors|000000000001056754
359|MOTOR,SIEMENS MOTORS,75 HP,3600 RPM Electric Motors|000000000001056755
360|MOTOR,SIEMENS-ALLIS,75 HP,3600 RPM Electric Motors|000000000001056756
361|MOTOR,LINCOLN MOTORS,60 HP,1200 RPM Electric Motors|000000000001056757
362|MOTOR,US ELECTRIC,60 HP,1200 RPM Electric Motors|000000000001056758
363|MOTOR,WESTINGHOUSE,60 HP,1200 RPM Electric Motors|000000000001056759
364|MOTOR,SIEMENS-ALLIS,60 HP,1200 RPM Electric Motors|000000000001056760
365|MOTOR,WILLIS ELECTRIC,60 HP,1200 RPM Electric Motors|000000000001056761
366|MOTOR,WESTINGHOUSE,60 HP,3600 RPM Electric Motors|000000000001056767
